cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,move
2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1
4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
4,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0
8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
8,4,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0
8,4,0,0,4,0,0,0,0,0,0,0,0,0,0,2,1
8,4,0,0,4,0,0,0,0,0,0,0,2,0,2,0,0
8,4,0,0,4,0,2,0,0,0,0,0,4,0,0,0,0
16,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1
16,4,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0
16,8,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
16,8,0,2,2,2,0,0,0,0,0,0,0,0,0,0,1
16,8,2,0,4,0,0,0,0,0,0,0,2,0,0,0,0
16,8,2,0,4,0,0,2,2,0,0,0,0,0,0,0,1
16,8,2,0,4,2,0,0,2,0,2,0,0,0,0,0,0
16,8,2,0,4,2,0,0,4,0,0,0,0,0,0,2,0
16,8,2,2,8,2,0,2,0,0,0,0,0,0,0,0,1
16,8,4,0,8,4,0,0,2,0,0,0,0,0,0,0,0
16,8,4,0,8,4,0,0,2,2,0,0,0,0,0,0,0
16,8,4,0,8,4,0,2,2,2,0,0,0,0,0,0,1
16,8,4,2,8,4,0,0,2,2,0,0,0,2,0,0,1
16,8,4,2,8,4,0,0,4,0,0,0,2,0,0,4,0
16,8,4,2,8,4,0,0,4,0,0,0,2,4,0,2,0
16,16,4,4,8,2,0,0,4,0,0,0,2,0,0,0,1
32,8,2,0,8,2,0,0,4,0,0,0,2,0,0,0,0
32,8,2,0,8,2,0,0,4,0,0,0,2,2,0,0,0
32,8,2,0,8,2,0,2,4,0,0,0,4,0,0,0,0
32,8,2,2,16,2,0,0,0,0,0,0,0,0,0,2,1
32,8,4,0,16,2,0,0,0,0,0,0,2,0,2,0,0
32,8,4,0,16,2,0,0,0,0,0,0,4,0,2,0,0
32,8,4,2,16,2,0,0,0,0,0,0,4,2,0,0,0
32,8,4,2,16,2,0,0,2,0,0,0,4,2,0,0,0
32,8,4,2,16,2,0,0,2,0,0,0,4,2,0,4,0
32,8,4,2,16,4,0,4,2,0,0,2,4,0,0,0,1
32,8,4,2,16,8,0,2,4,0,0,0,4,0,0,0,0
